Assigned IP,Hostname,MAC Address,Description,DHCP Range,Static Range
192.168.1.0,---,---,---,,
192.168.1.1,---,C0:C9:E3:00:B6:09,AC1200 Wireless Dual Band Router,,
192.168.1.2,,,,,
192.168.1.3,,,,,
192.168.1.4,,,,,
192.168.1.5,,,,,
192.168.1.6,,,,,
192.168.1.7,,,,,
192.168.1.8,,,,,
192.168.1.9,,,,,
192.168.1.10,,,,,
192.168.1.11,,,,,
192.168.1.12,,,,,
192.168.1.13,,,,,
192.168.1.14,,,,,
192.168.1.15,,,,,
192.168.1.16,,,,,
192.168.1.17,,,,,
192.168.1.18,,,,,
192.168.1.19,,,,,
192.168.1.20,,,,,
192.168.1.21,,,,,
192.168.1.22,,,,,
192.168.1.23,,,,,
192.168.1.24,,,,,
192.168.1.25,,,,,
192.168.1.26,,,,,
192.168.1.27,,,,,
192.168.1.28,,,,,
192.168.1.29,,,,,
192.168.1.30,,,,,
192.168.1.31,,,,,
192.168.1.32,,,,,
192.168.1.33,,,,,
192.168.1.34,,,,,
192.168.1.35,,,,,
192.168.1.36,,,,,
192.168.1.37,,,,,
192.168.1.38,,,,,
192.168.1.39,,,,,
192.168.1.40,,,,,
192.168.1.41,,,,,
192.168.1.42,,,,,
192.168.1.43,,,,,
192.168.1.44,,,,,
192.168.1.45,,,,,
192.168.1.46,,,,,
192.168.1.47,,,,,
192.168.1.48,,,,,
192.168.1.49,,,,,
192.168.1.50,,,,,
192.168.1.51,,,,,
192.168.1.52,,,,,
192.168.1.53,,,,,
192.168.1.54,,,,,
192.168.1.55,,,,,
192.168.1.56,,,,,
192.168.1.57,,,,,
192.168.1.58,,,,,
192.168.1.59,,,,,
192.168.1.60,,,,,
192.168.1.61,,,,,
192.168.1.62,,,,,
192.168.1.63,,,,,
192.168.1.64,,,,,
192.168.1.65,,,,,
192.168.1.66,,,,,
192.168.1.67,,,,,
192.168.1.68,,,,,
192.168.1.69,,,,,
192.168.1.70,,,,,
192.168.1.71,,,,,
192.168.1.72,,,,,
192.168.1.73,,,,,
192.168.1.74,,,,,
192.168.1.75,,,,,
192.168.1.76,,,,,
192.168.1.77,,,,,
192.168.1.78,,,,,
192.168.1.79,,,,,
192.168.1.80,,,,,
192.168.1.81,,,,,
192.168.1.82,,,,,
192.168.1.83,,,,,
192.168.1.84,,,,,
192.168.1.85,,,,,
192.168.1.86,,,,,
192.168.1.87,,,,,
192.168.1.88,,,,,
192.168.1.89,,,,,
192.168.1.90,,,,,
192.168.1.91,,,,,
192.168.1.92,,,,,
192.168.1.93,,,,,
192.168.1.94,,,,,
192.168.1.95,,,,,
192.168.1.96,,,,,
192.168.1.97,,,,,
192.168.1.98,,,,,
192.168.1.99,,,,,
192.168.1.100,Helium-Hotspot,60:81:F9:23:9B:30,,,
192.168.1.101,,,,,
192.168.1.102,Nathans-iPad,E2:21:0E:F0:20:B4,,,
192.168.1.103,,,,,
192.168.1.104,,,,,
192.168.1.105,SoundBarSetup_FE5D,00:22:6C:22:FE:5D,,,
192.168.1.106,15AA01AC38170SKL,64:16:66:02:6B:AE,,,
192.168.1.107,Unknown,94:3A:91:F8:78:36,,,
192.168.1.108,amazon-4c46b40d2,F8:54:B8:59:9A:57,,,
192.168.1.109,Owlet-c4ac59f55450,C4:AC:59:F5:54:50,,,
192.168.1.110,,,,,
192.168.1.111,Unknown,DC:A6:32:B4:32:83,Antsle Nano #1,,
192.168.1.112,Unknown,10:96:93:31:A1:17,,,
192.168.1.113,,,,,
192.168.1.114,SAMSUNG-SM-G950U,A0:CC:2B:03:9F:E0,,,
192.168.1.115,amazon-9ab6f5eb0,18:74:2E:3C:A5:00,,,
